"","stock_data$EXPD.Open","stock_data$EXPD.High","stock_data$EXPD.Low","stock_data$EXPD.Close","stock_data$EXPD.Volume","stock_data$EXPD.Adjusted"
"1",36.700001,39.360001,34.459999,34.509998,18852100,32.313469
"2",34.470001,42.790001,33.650002,42.639999,36268000,39.926004
"3",43,44.369999,39.209999,39.599998,38205300,37.079496
"4",40.220001,47.580002,39.919998,46.23,30780600,43.287504
"5",46.669998,50.560001,45.23,49.360001,28731700,46.218283
"6",49.5,53.43,48.619999,52.900002,28364300,49.721123
"7",53.84,57.150002,53.59,54.599998,25858600,51.318964
"8",55.080002,56.189999,50.34,50.669998,24115000,47.625126
"9",50.939999,55.110001,46.779999,47.799999,28353000,44.927592
"10",48.790001,50.279999,45.91,50.150002,35392200,47.136377
"11",50.360001,55.299999,49.93,54.27,24626000,51.008796
"12",54.759998,55.150002,51.18,52.82,25594500,49.88306
"13",52.740002,53.110001,46.529999,51.189999,42450500,48.343692
"14",51.209999,53.220001,47.040001,47.720001,24943000,45.066636
"15",48.130001,48.139999,40.139999,45.5,70017800,42.970073
"16",45.400002,46.419998,39.279999,40.549999,44183800,38.295306
"17",40.189999,47.73,38.25,45.599998,41451800,43.064511
"18",44.330002,45.950001,39.880001,43.509998,34564500,41.342133
"19",43.279999,43.32,39.130001,40.959999,32439900,38.919186
"20",41.830002,45,40.799999,44.650002,29173900,42.425336
"21",44.5,45,42.290001,43.68,33783400,41.503665
"22",43.82,47.200001,43.290001,46.509998,35818500,44.192659
"23",46.360001,47.48,39.77,40,42643100,38.007019
"24",40.07,41.130001,37.18,38.25,62124600,36.606557
"25",37.450001,40.5,36.720001,38.75,31560300,37.085074
"26",38.950001,39.610001,35.490002,35.57,32735400,34.041705
"27",35.889999,38.900002,34.830002,36.610001,34284600,35.037022
"28",36.5,39.450001,35.900002,36.349998,24995300,34.788191
"29",36.43,37.360001,34.200001,36.610001,48889100,35.037022
"30",36.52,38.5,35.400002,37.419998,32177100,36.085074
"31",37.66,39.970001,36.669998,39.549999,29561400,38.139089
"32",40.27,43.799999,40.16,42.900002,37447800,41.369583
"33",43.299999,43.610001,36.080002,38.849998,47227100,37.46406
"34",38.509998,39.779999,35.330002,35.73,45662600,34.455364
"35",35.790001,37.25,34.830002,35.93,43230100,34.64823
"36",36.02,40.709999,35.029999,39.029999,42381200,37.926714
"37",39.02,39.369999,36.450001,38.040001,26923900,36.964701
"38",38.580002,41.599998,37.790001,40.32,24613400,39.180249
"39",40.57,42.950001,39.68,40.560001,28191600,39.413467
"40",40.91,45.48,40.490002,44.060001,33558400,42.81453
"41",43.900002,46.900002,41.790001,45.290001,26132800,44.00976
"42",45.509998,46.310001,42.07,43.439999,24018800,42.505532
"43",43.91,44.48,42.279999,44.25,19722300,43.298108
"44",44.310001,45.689999,40.540001,40.860001,23704900,39.981034
"45",40.84,42.77,38.700001,39.509998,33616700,38.660072
"46",39.290001,40.360001,38.419998,39.630001,40010000,38.777493
"47",39.669998,41.32,38.540001,41.240002,28678800,40.35286
"48",41.299999,46.799999,40.610001,45.509998,38408900,44.843296
"49",45.580002,46.169998,43.68,44.16,28425500,43.513075
"50",44.16,45.779999,43.16,43.18,22406700,42.547432
"51",43.25,43.91,39.970001,41.299999,32839400,40.694972
"52",41.34,43.18,40.5,40.580002,27006600,39.985522
"53",40.5,42.73,38.139999,42.66,33523200,42.035049
"54",42.689999,47.240002,42.099998,46.82,24430900,46.461226
"55",46.75,46.799999,41.970001,44.610001,31042200,44.268162
"56",44.990002,45.5,42.169998,43.68,26705900,43.345288
"57",43.900002,49.02,43.380001,48.299999,21878200,47.929884
"58",48.130001,49.509998,47.07,48.18,23936000,47.810805
"59",48,48.220001,45.27,45.830002,21241600,45.478814
"60",45.950001,49.110001,45.720001,45.84,25547300,45.84
"61",45.950001,48.419998,45.84,47.52,13692400,47.52
