"","stock_data$FOSL.Open","stock_data$FOSL.High","stock_data$FOSL.Low","stock_data$FOSL.Close","stock_data$FOSL.Volume","stock_data$FOSL.Adjusted"
"1",37.23,41.16,34.34,34.700001,17730700,34.700001
"2",35.040001,41.07,33.860001,39.599998,13337000,39.599998
"3",40.27,49.5,38.849998,47.490002,19997100,47.490002
"4",47.959999,54.759998,47.549999,53.790001,15767000,53.790001
"5",54.439999,59.939999,51.029999,58.990002,13387500,58.990002
"6",59.48,70.07,58.84,67.650002,20817100,67.650002
"7",68.699997,74.339996,67.690002,70.480003,13651000,70.480003
"8",71.620003,73.190002,66.050003,71.050003,15084900,71.050003
"9",71.57,83.68,70.849998,76.739998,20289200,76.739998
"10",77.169998,93.650002,74.029999,93.650002,23265100,93.650002
"11",93.650002,96.989998,89.779999,95.779999,13486700,95.779999
"12",95.970001,107.540001,89.550003,105.839996,17242900,105.839996
"13",105.93,119.459999,99.019997,117.720001,15724200,117.720001
"14",117.510002,134.979996,117.510002,125.669998,15505000,125.669998
"15",129.539993,129.899994,69.57,96.610001,51186500,96.610001
"16",96.540001,104.68,80.970001,81.059998,29366200,81.059998
"17",80.120003,110.739998,73.010002,103.660004,28093800,103.660004
"18",98.980003,102.720001,80.889999,89.589996,27262700,89.589996
"19",89.150002,92.629997,79.260002,79.360001,21329900,79.360001
"20",81.120003,97.669998,76.720001,95.050003,25245100,95.050003
"21",96.339996,123.440002,95.779999,121.980003,32160000,121.980003
"22",122.82,135.979996,118.699997,131.979996,19963200,131.979996
"23",132.860001,139.199997,123.660004,130.669998,30259900,130.669998
"24",130.550003,138.410004,69.57,73.160004,54204200,73.160004
"25",71.620003,77.599998,67.690002,76.540001,25765600,76.540001
"26",76.610001,77.5,62.77,71.690002,26940200,71.690002
"27",72.040001,93.449997,66.379997,84.949997,34459600,84.949997
"28",84.839996,93.690002,82.800003,84.699997,17930600,84.699997
"29",85,92.760002,81.900002,87.099998,14863600,87.099998
"30",87.940002,96.400002,78.75,86.440002,21622400,86.440002
"31",86.980003,95.529999,83.709999,93.099998,12594200,93.099998
"32",95.660004,107.849998,92,105.580002,14680400,105.580002
"33",106.68,115.190002,95.440002,102.769997,21613200,102.769997
"34",102.309998,107.849998,92.550003,96.599998,14731900,96.599998
"35",96.629997,99.5,89.5,98.120003,18073200,98.120003
"36",97.440002,110.440002,94.449997,106.199997,16168200,106.199997
"37",105.93,108.489998,97.019997,103.309998,14906000,103.309998
"38",103.519997,114.139999,103.169998,109.900002,12863000,109.900002
"39",110.989998,129.25,107.110001,116.139999,21170900,116.139999
"40",117.559998,119.370003,111.550003,116.239998,13916800,116.239998
"41",116.260002,128.910004,113.139999,126.940002,13742500,126.940002
"42",127.449997,134.990005,124.660004,127.269997,15337900,127.269997
"43",126.5,127.25,117.5,119.940002,19102200,119.940002
"44",116.629997,121.989998,110.760002,111.830002,23036800,111.830002
"45",111.730003,125,106.910004,114.910004,23760900,114.910004
"46",113.5,120.790001,111.760002,116.57,17213100,116.57
"47",116.959999,119.349998,104.25,106.650002,12410900,106.650002
"48",106.720001,114.120003,98.529999,104.760002,19612500,104.760002
"49",104.879997,107.739998,102.480003,104.519997,11183500,104.519997
"50",104.419998,108.080002,97.919998,98,11607800,98
"51",98.129997,104.510002,95.25,101.290001,16668200,101.290001
"52",101.290001,105.480003,93.739998,93.900002,18732400,93.900002
"53",93.110001,102,91.839996,101.660004,20671300,101.660004
"54",101.540001,115.199997,98.68,111.720001,20549700,111.720001
"55",111.720001,112.739998,105.309998,110.739998,12189000,110.739998
"56",111.040001,112.059998,96.300003,97.800003,18914900,97.800003
"57",97.709999,103.129997,79.849998,86.010002,37945800,86.010002
"58",85.669998,87.599998,79.5,82.449997,20022000,82.449997
"59",82.32,86.019997,80.769997,83.980003,17288500,83.980003
"60",84.550003,86.5,68.550003,71.010002,34683300,71.010002
"61",71.190002,72.849998,70.870003,71.449997,6362000,71.449997
