"","stock_data$HIG.Open","stock_data$HIG.High","stock_data$HIG.Low","stock_data$HIG.Close","stock_data$HIG.Volume","stock_data$HIG.Adjusted"
"1",23.26,25.799999,21.92,22.129999,100465000,20.281344
"2",21.950001,24.07,20.950001,23.41,137083400,21.454419
"3",23.860001,24.27,18.809999,20.17,150965100,18.530673
"4",20.5,23.73,20.42,22.950001,170077800,21.084727
"5",23.16,25.059999,22.9,23.950001,126305200,22.003452
"6",24.17,26.780001,22.24,22.26,150416100,20.495813
"7",22.709999,27.48,22.530001,26.49,125390600,24.39057
"8",26.93,28.82,26.860001,27.780001,106824600,25.578334
"9",28.18,31.08,27.85,29.6,110171100,27.349351
"10",29.82,30.09,24.129999,26.93,143119400,24.882366
"11",27.129999,29.1,25.940001,28.969999,84298000,26.767253
"12",29.23,29.59,26.09,26.65,86563800,24.717354
"13",26.450001,26.52,23.690001,26.370001,101098000,24.45766
"14",26.4,27.120001,23.049999,23.42,112296800,21.721592
"15",23.780001,23.809999,16.26,19.139999,242443800,17.843859
"16",19.15,19.35,15.48,16.139999,199383500,15.047016
"17",15.82,20.719999,14.56,19.25,205254500,17.946411
"18",17.98,19.34,15.43,17.76,175156400,16.658641
"19",17.540001,18.9,14.95,16.25,149491300,15.242281
"20",16.68,19.370001,16.16,17.52,155028700,16.433525
"21",17.709999,21.82,17.690001,20.709999,211087200,19.425701
"22",20.690001,23.290001,19.27,21.08,186029300,19.868694
"23",21.209999,22.370001,19.58,20.549999,114433700,19.369148
"24",20.540001,21.17,16.540001,16.82,162735000,15.943407
"25",16.33,17.77,16.02,17.629999,112553000,16.711192
"26",17.700001,17.969999,15.65,16.450001,128482400,15.592691
"27",16.66,18.74,15.65,17.93,146950100,17.091525
"28",17.889999,20.690001,17.639999,19.440001,160824900,18.530912
"29",19.690001,22.67,19.370001,21.709999,175509900,20.694756
"30",21.870001,22.200001,20.120001,21.18,109031400,20.285867
"31",21.290001,22.879999,20.809999,22.440001,86391000,21.492675
"32",23,25.040001,23,24.799999,106108200,23.753044
"33",25.030001,25.370001,22.639999,23.610001,126786700,22.613282
"34",23.379999,26.690001,23.110001,25.799999,126963500,24.813107
"35",25.84,28.389999,24.67,28.09,162750600,27.015512
"36",27.809999,31.530001,27.719999,30.629999,116258400,29.554277
"37",30.799999,31.35,28.040001,30.92,125659300,29.834093
"38",31.200001,32.330002,29.959999,30.860001,100134800,29.776201
"39",31.209999,32.209999,29.370001,29.6,76464900,28.705085
"40",30.1,32.599998,29.93,31.120001,72063900,30.179131
"41",31.18,35.009998,30.469999,33.700001,93388700,32.681128
"42",33.709999,36.200001,33.040001,35.630001,80049000,34.698487
"43",35.790001,36.759998,34.400002,36.23,75531100,35.282799
"44",36.099998,36.139999,31.959999,33.25,90117300,32.380709
"45",33.470001,35.360001,32.029999,35.189999,73559000,34.269988
"46",34.810001,36.490002,34.07,35.27,77670100,34.491333
"47",35.450001,36.349998,33.259998,35.869999,91825700,35.078085
"48",35.75,36.32,33.639999,34.650002,70994900,34.032477
"49",34.810001,36.380001,34.689999,35.810001,45775800,35.171803
"50",35.970001,36.869999,34.040001,34.16,63185100,33.551208
"51",34.07,37.32,33.639999,37.049999,70987700,36.566591
"52",37.16,38.240002,36.540001,37.25,64016400,36.763982
"53",37.209999,39.82,34.73,39.580002,103961700,39.063583
"54",39.790001,41.689999,39.209999,41.299999,52058300,40.938919
"55",41.150002,42.470001,39.860001,41.689999,65147600,41.325508
"56",41.939999,42.189999,38.880001,38.900002,63289300,38.559904
"57",38.93,41.77,38.650002,40.959999,63519700,40.601891
"58",40.959999,43.419998,40.419998,41.82,68337500,41.638524
"59",41.700001,42.950001,40.630001,40.77,53805800,40.593081
"60",41.07,42.5,40.669998,41.110001,45856400,41.110001
"61",41.299999,42.07,40.849998,42.029999,24490100,42.029999
