"","stock_data$HRB.Open","stock_data$HRB.High","stock_data$HRB.Low","stock_data$HRB.Close","stock_data$HRB.Volume","stock_data$HRB.Adjusted"
"1",15.35,16.42,14.91,15.69,68195900,13.056261
"2",15.7,15.75,13.44,15.68,140944800,13.04794
"3",15.79,15.97,12.54,12.83,81871900,10.676344
"4",12.99,13.79,11.98,12.95,122368000,10.90698
"5",13.06,14.29,10.13,11.78,238369900,9.921561
"6",11.94,13.2,11.15,12.59,131785500,10.603774
"7",12.76,13.72,11.43,11.91,127728500,10.150754
"8",12.15,13.79,11.91,12.52,113904600,10.670651
"9",12.6,15.47,12.46,15.19,98974600,12.94626
"10",15.15,16.99,14.31,16.74,125899600,14.415206
"11",16.879999,18,16.879999,17.290001,102833900,14.888825
"12",17.440001,17.75,15.2,16.200001,119723100,13.9502
"13",16.190001,16.530001,15.2,16.040001,80946200,13.943717
"14",16.08,16.459999,14.68,14.96,56914200,13.004863
"15",15.06,15.34,12.54,15.12,100464100,13.143952
"16",15.17,15.51,12.73,13.31,110007500,11.702889
"17",13.22,15.52,12.81,15.29,67819400,13.443814
"18",14.91,15.98,14.41,15.73,52822900,13.830686
"19",15.75,16.639999,14.45,16.33,77760500,14.550066
"20",16.65,17.09,15.99,16.360001,47349400,14.576797
"21",16.5,17.459999,15.98,16.299999,50390700,14.523336
"22",16.299999,17.17,14.91,16.469999,63328800,14.862105
"23",16.43,17.15,14.35,14.7,79912000,13.264902
"24",14.73,15.44,14.35,15.27,108077300,13.779256
"25",15.05,16.280001,15,15.98,74340800,14.605526
"26",16.08,16.879999,15.87,16.129999,85634800,14.742624
"27",16.17,17.01,15.53,16.559999,70710500,15.135639
"28",16.530001,17.42,15.9,17.33,72655900,16.033639
"29",17.389999,18.040001,16.440001,17.700001,64677500,16.375962
"30",17.84,18.379999,17.26,18.030001,41582100,16.681277
"31",18.120001,19.33,17.41,18.57,67585200,17.378705
"32",18.860001,23.190001,18.860001,22.77,108196100,21.309269
"33",22.98,25.23,22.77,24.860001,79769500,23.265192
"34",24.83,29.43,24.57,29.42,99351100,27.729392
"35",29.459999,29.68,26.58,27.74,70169700,26.145932
"36",27.620001,30.23,27.280001,29.27,59607200,27.588012
"37",29.33,30.049999,27.24,27.75,50943000,26.33807
"38",27.870001,31.75,27.51,31.43,47818900,29.83083
"39",31.66,32.09,27.82,27.91,27069200,26.489929
"40",28.27,28.49,25.98,26.66,58813400,25.492081
"41",27.24,29.48,26.6,28.440001,58718100,27.194103
"42",28.540001,29.73,27.129999,27.889999,31448200,26.668196
"43",27.92,29.700001,27.190001,29.040001,48277100,27.964127
"44",28.99,30.530001,27.93,30.4,67683100,29.273741
"45",30.35,32.419998,29.08,31.639999,54720400,30.467801
"46",31.32,32.25,28.51,30.190001,69060800,29.265267
"47",30.4,31.219999,26.92,28.42,74514800,27.549482
"48",28.440001,29.799999,27.23,29.780001,47678300,28.867825
"49",29.77,33.650002,29.190001,33.52,56519900,32.696668
"50",32.900002,33.439999,31.93,32.130001,45619000,31.340811
"51",32.169998,33.919998,31.639999,33.529999,30145800,32.706421
"52",33.720001,33.84,30.73,31.01,45427100,30.433836
"53",30.9,32.34,27.42,32.310001,71266000,31.709683
"54",32.41,33.68,31.77,33.639999,25120100,33.01497
"55",33.619999,35.09,31.41,33.68,56363600,33.247132
"56",33.790001,35,31.959999,34.279999,39676600,33.83942
"57",34.34,35.799999,33.849998,34.150002,39919300,33.711093
"58",34.150002,34.459999,31.48,32.07,58874000,31.858316
"59",32,32.849998,30.1,30.24,44627600,30.040395
"60",30.370001,32.41,30.07,31.73,44611200,31.52056
"61",31.77,32.860001,30.24,30.299999,24401900,30.099999
