"","stock_data$KLAC.Open","stock_data$KLAC.High","stock_data$KLAC.Low","stock_data$KLAC.Close","stock_data$KLAC.Volume","stock_data$KLAC.Adjusted"
"1",28.629999,32.299999,27.790001,27.879999,69320200,19.355712
"2",27.790001,32.18,26.690001,31.67,101411500,21.986924
"3",32.02,32.900002,27.75,28.01,68968100,19.610594
"4",28.59,35.700001,27.940001,35.23,82551100,24.66552
"5",35.459999,37.060001,33.009998,35.720001,75501000,25.008584
"6",35.77,38.189999,35.150002,36.669998,45059700,25.846381
"7",37.290001,40.439999,37.27,38.639999,36991200,27.234911
"8",38.580002,45.990002,36.900002,44.080002,59913300,31.069228
"9",44.290001,49.98,44.259998,48.82,45158900,34.587272
"10",49,51.830002,44.040001,47.32,56753800,33.524574
"11",47.380001,47.759998,41.380001,43.900002,54001500,31.101624
"12",44.060001,46.18,40.130001,43.099998,51853100,30.708147
"13",42.849998,43.43,37.849998,40.48,47285200,28.841434
"14",40.529999,44.599998,39.450001,39.82,66224200,28.371193
"15",39.84,40.34,33.580002,36.68,86924000,26.395253
"16",36.84,40.970001,33.200001,38.279999,79397600,27.546626
"17",38.060001,48,36.619999,47.09,79316900,33.886381
"18",45.490002,48.75,42.080002,46.099998,61314700,33.418612
"19",46.09,49.389999,45.060001,48.25,55261100,34.977182
"20",48.720001,53.049999,46.75,51.110001,69795400,37.050441
"21",51.810001,52.290001,47.290001,48.389999,50380400,35.329335
"22",48.529999,55.150002,46.580002,54.419998,58023400,39.731812
"23",54.209999,55.43,51.240002,52.130001,42514700,38.059895
"24",52.209999,52.849998,44.77,45.830002,56598200,33.696022
"25",45.099998,50.150002,44.060001,49.25,45223200,36.21054
"26",49.07,51.450001,44.77,50.91,51179700,37.431037
"27",51.349998,54.110001,50.369999,51.310001,40496100,38.012508
"28",51.27,52.990002,46.419998,47.709999,49379400,35.345482
"29",48,48.939999,44.700001,46.549999,54568200,34.486108
"30",46.919998,48.900002,43.209999,45.470001,50395600,33.987241
"31",45.720001,48.790001,45.139999,47.759998,29493700,35.698934
"32",48.810001,57.970001,47.369999,54.91,50893200,41.04331
"33",55.43,57.18,53,54.759998,39539600,41.222464
"34",54.360001,55.82,50.799999,52.740002,37440700,39.701843
"35",52.73,57,50.23,54.25,49216100,40.838546
"36",54.23,56.799999,53.450001,56.290001,45229900,42.686372
"37",56.68,57.560001,53.380001,55.73,32581800,42.261707
"38",56.18,60.939999,54.290001,58.630001,39832000,44.460864
"39",59.169998,60.18,54.650002,55.150002,25928000,42.141399
"40",55.799999,62.450001,55.110001,60.849998,28825700,46.496899
"41",60.990002,67.050003,58.830002,65.599998,32563000,50.126485
"42",65.889999,65.900002,61.57,63.869999,22742400,49.15052
"43",63.599998,64.650002,60.5,64.459999,22682400,49.604548
"44",64,64.300003,60.619999,61.470001,31145800,47.303625
"45",60.23,66.120003,59.439999,65.150002,24228400,50.491723
"46",64.459999,70.779999,63.900002,69.139999,28615900,53.584001
"47",69.559998,71.93,62.169998,63.990002,39802800,49.592715
"48",63.990002,65.879997,61.43,65.519997,24652200,51.143844
"49",65.730003,72.779999,65.169998,72.639999,26007400,56.701602
"50",72.730003,75.400002,70.099998,71.489998,44319500,55.80393
"51",71.370003,76.730003,70.910004,76.419998,22003000,60.064002
"52",76.540001,81.269997,76.470001,78.779999,32921900,61.918897
"53",78.879997,79.879997,65.25,79.150002,59093600,62.209709
"54",79.040001,84.209999,66.739998,69.440002,32038800,68.312098
"55",69.07,73.120003,66.220001,70.32,33547000,69.177802
"56",70.620003,71.260002,61.34,61.470001,37702400,60.471552
"57",61.419998,66.660004,60.209999,64.959999,22027000,64.408367
"58",65.190002,66.239998,57.490002,58.290001,30974500,57.79501
"59",58.27,60.799999,57.099998,58.799999,33682200,58.300677
"60",59.110001,60.73,57.77,59.66,22348900,59.66
"61",60.07,60.09,55.419998,56.16,10087700,56.16
