"","stock_data$MCD.Open","stock_data$MCD.High","stock_data$MCD.Low","stock_data$MCD.Close","stock_data$MCD.Volume","stock_data$MCD.Adjusted"
"1",68.980003,70.580002,65.800003,65.870003,93903500,56.129464
"2",66.720001,71.540001,65.309998,69.730003,133382100,59.418666
"3",70.5,74.07,69.839996,73.059998,129701400,62.722478
"4",73.919998,76.260002,73.660004,74.510002,139333600,63.967317
"5",75.040001,79.900002,74.400002,77.769997,110920200,66.766043
"6",78.059998,79.849998,77.120003,78.300003,118058200,67.747233
"7",79.139999,80.940002,75.940002,76.760002,114256400,66.414784
"8",77.099998,77.589996,72.139999,73.669998,233975300,63.741231
"9",74.220001,76.449997,73.080002,75.68,135858400,66.015766
"10",75.709999,77.25,72.889999,76.089996,143318900,66.373406
"11",76.300003,78.589996,75.660004,78.309998,97983500,68.309916
"12",78.400002,83.080002,78.199997,81.540001,120036800,71.657735
"13",81.470001,84.910004,80,84.32,128508800,74.100811
"14",84.160004,89.57,84.150002,86.480003,117018200,75.999032
"15",87.489998,91.220001,82.010002,90.410004,200669000,79.990171
"16",90.269997,91.089996,83.650002,87.82,165750900,77.698667
"17",87.43,93.839996,83.739998,92.849998,138108100,82.148954
"18",92.309998,95.540001,91.220001,95.519997,109863900,85.146933
"19",95.440002,101,94.82,100.330002,110500700,89.434592
"20",101.330002,102.220001,97.699997,99.050003,120351800,88.293596
"21",99.459999,101.290001,98.260002,99.279999,88933500,89.120218
"22",99.279999,100.440002,95.129997,98.099998,136419600,88.060973
"23",97.82,99.5,94.129997,97.449997,132852000,87.477489
"24",97.230003,98.010002,89.260002,89.339996,132371000,80.825297
"25",87.470001,90.760002,85.919998,88.529999,153888700,80.092497
"26",88.410004,93.32,87.620003,89.360001,125472600,80.843394
"27",89.489998,90.43,86.150002,89.489998,116808900,81.598129
"28",89.510002,94,88.709999,91.75,98697200,83.658828
"29",92.110001,94.160004,86.370003,86.800003,135455700,79.145357
"30",87,88.129997,83.309998,87.040001,133363500,80.076849
"31",87.419998,90.849998,86.269997,88.209999,114044000,81.153248
"32",89.400002,95.290001,89.25,95.290001,110374200,87.666854
"33",95.580002,96.779999,93.190002,95.900002,98048800,88.939793
"34",95.68,99.779999,94.870003,99.690002,92727700,92.454724
"35",99.410004,103.699997,98.379997,102.139999,102269300,94.726906
"36",101.980003,103.339996,96.559998,96.57,131988600,90.262857
"37",96.769997,100.18,95.160004,99,92115500,92.534151
"38",99.349998,101.809998,96.300003,98.080002,103465500,91.674239
"39",98.620003,99.440002,94.010002,94.360001,106466700,88.909733
"40",95.099998,98.989998,94.120003,96.209999,83958900,90.652875
"41",96.18,96.699997,93.139999,96.519997,105109100,90.944967
"42",96.519997,99.269997,96.32,97.370003,127462000,92.50893
"43",97.290001,97.290001,94.040001,97.029999,90582200,92.1859
"44",96.809998,97.080002,92.870003,94.169998,115669600,89.468682
"45",94.540001,97,92.220001,95.150002,94318500,91.169888
"46",94.239998,99.07,94,98.029999,119892900,93.929415
"47",98.099998,101.779999,96.519997,101.379997,114839100,97.139284
"48",100.68,103.779999,100.330002,101.43,86521200,97.970573
"49",101.389999,102.620003,99.410004,100.739998,87062600,97.304104
"50",100.43,101.360001,94.559998,94.559998,116896600,91.334882
"51",94.300003,95.370003,92.919998,93.720001,103879800,91.304909
"52",93.239998,97.300003,90.529999,94.809998,145805600,92.366817
"53",94.370003,95.290001,89.339996,93.730003,136770100,91.314653
"54",93.779999,97.5,93.019997,96.809998,89658400,95.149061
"55",96.150002,97.5,87.620003,93.699997,171229800,92.092418
"56",94.129997,95,88.769997,92.440002,152776400,90.854041
"57",92.050003,99.879997,91.43,98.900002,141263200,98.047935
"58",98.900002,101.089996,94.940002,97.440002,164772700,96.600515
"59",96.809998,99.349998,94.459999,96.550003,136319600,95.718183
"60",96.730003,101.080002,95.57,95.93,131454100,95.93
"61",95.839996,97.07,94.489998,95.300003,38824500,95.300003
