"","stock_data$MKC.Open","stock_data$MKC.High","stock_data$MKC.Low","stock_data$MKC.Close","stock_data$MKC.Volume","stock_data$MKC.Adjusted"
"1",39.400002,40.77,37.950001,37.959999,18034400,33.818195
"2",37.849998,39.919998,37.369999,39.330002,16951000,35.280363
"3",39.700001,41.060001,38.889999,39.869999,17108800,35.764758
"4",40.290001,42.849998,40,42.040001,14869000,37.711325
"5",42.330002,44.23,41.439999,44.200001,14657600,39.897742
"6",44.209999,44.830002,43.209999,44.009998,11785600,39.726234
"7",44.459999,47.830002,44.220001,46.529999,14810700,42.252988
"8",46.759998,46.790001,43.970001,44.200001,16264100,40.137162
"9",44.43,47.689999,44.16,47.650002,13183400,43.270041
"10",47.73,49.970001,46.599998,47.830002,19297600,43.433496
"11",47.990002,49.240002,46.849998,49.119999,13043800,44.869132
"12",49.32,50.5,48.580002,50.189999,10460200,45.846533
"13",50.040001,51.259998,48.049999,49.57,13538300,45.280189
"14",49.66,50.509998,48.330002,48.650002,10211500,44.691896
"15",49.029999,49.080002,43.360001,47.790001,17065600,43.901864
"16",47.700001,48.66,43.619999,46.16,17246700,42.404478
"17",45.84,49.84,44.200001,48.560001,15217600,44.881582
"18",47.790001,50.09,46.279999,48.700001,12708200,45.010976
"19",48.540001,50.849998,48.439999,50.419998,10909000,46.887146
"20",50.93,52.209999,49.970001,50.540001,9575600,46.99874
"21",50.689999,51.709999,49.869999,50.450001,10996600,46.915046
"22",50.450001,54.630001,50.169998,54.43,13585800,50.616173
"23",54.5,56.169998,53.310001,55.91,10697400,52.287774
"24",55.790001,57.580002,55.450001,56.360001,11949100,52.70862
"25",55.860001,60.650002,54.810001,60.650002,16750400,56.720686
"26",60.689999,61.790001,59,60.880001,13064700,57.22334
"27",61.009998,61.669998,59.02,61.439999,8615500,57.749702
"28",61.549999,63.91,60.060001,62.040001,10431700,58.313666
"29",62.110001,63.23,60.75,61.619999,9261900,58.205479
"30",61.630001,66.370003,60.790001,64.559998,14175600,60.982565
"31",64.900002,66.110001,62.439999,63.529999,10343500,60.332887
"32",64.309998,66.949997,60.82,62.349998,18691200,59.21227
"33",62.970001,67.660004,62.540001,67.269997,14038600,63.884672
"34",67.150002,73.690002,66.589996,73.550003,12277400,69.84864
"35",73.209999,73.699997,70.379997,71.940002,14670900,68.646139
"36",71.900002,75.260002,69.080002,69.080002,11767900,65.917087
"37",69.040001,73.489998,68.68,70.360001,14210900,67.138479
"38",70.610001,73.080002,68.110001,71.610001,10780000,68.664284
"39",72.059998,73.790001,66.669998,67.650002,8991500,64.867182
"40",68.110001,69.839996,64.040001,64.699997,10238300,62.038527
"41",64.739998,69.980003,63.380001,69.150002,14736700,66.655267
"42",69.150002,70.400002,68.300003,69,8424800,66.510677
"43",69.059998,70.519997,66.599998,68.919998,11389300,66.79198
"44",68.870003,70.419998,63.450001,64.18,20440700,62.198338
"45",64.050003,66.660004,62.75,66.400002,16558600,64.349793
"46",65.790001,71.989998,65.540001,71.739998,14755000,69.524908
"47",71.580002,72.279999,69.760002,71.199997,11792800,69.361518
"48",71.339996,72.43,70,72.309998,8370100,70.442857
"49",72.029999,73.330002,68.410004,71.589996,10394900,69.741448
"50",71.43,72.080002,65.720001,65.779999,11846900,64.414108
"51",64.919998,70.25,64.919998,69.690002,9409400,68.242922
"52",69.720001,69.940002,65.800003,66.900002,10577400,65.510854
"53",67.239998,70.760002,65.160004,70.720001,19062300,69.634025
"54",70.650002,74.75,70.470001,74.330002,12024100,73.18859
"55",74.129997,77.080002,71.510002,74.300003,11971400,73.543288
"56",74.519997,75.720001,70.709999,71.389999,16689800,70.662922
"57",71.43,75.989998,70.699997,75.379997,9369400,74.612283
"58",75.379997,78.239998,71.010002,77.110001,18388000,76.324667
"59",76.660004,78.699997,75.110001,75.300003,13240700,74.921753
"60",75.599998,79.760002,75.190002,78.5,8867200,78.105676
"61",78.690002,78.900002,76.160004,77.110001,3397000,76.722658
