"","stock_data$MTB.Open","stock_data$MTB.High","stock_data$MTB.Low","stock_data$MTB.Close","stock_data$MTB.Volume","stock_data$MTB.Adjusted"
"1",76.959999,96.150002,76.660004,84.949997,30788600,73.487515
"2",84.949997,93.470001,82.849998,87.339996,20399600,75.555027
"3",88.779999,92.360001,83.370003,85.639999,15460900,74.679946
"4",86.150002,95,81.080002,81.809998,19014100,71.340101
"5",83.059998,85.260002,72.029999,74.75,63798400,65.183629
"6",76.019997,84.489998,75.349998,76.959999,52383700,67.730964
"7",78.019997,87.870003,77.25,87.050003,20237300,76.610976
"8",87.669998,89.330002,84.629997,86.470001,17698900,76.100528
"9",86.800003,91.050003,85.989998,88.050003,12597400,78.104742
"10",88.540001,89.980003,84.690002,88.470001,15403300,78.477302
"11",89.099998,90.760002,84.529999,88.370003,16655600,78.388598
"12",88.519997,89.900002,85.879997,88.300003,16728100,78.96286
"13",88.129997,88.459999,83.309998,87.949997,21620100,78.649865
"14",88,90,84.349998,86.239998,17632700,77.120687
"15",87.129997,87.800003,69.230003,76.07,32712700,68.651586
"16",76.089996,76.370003,66.410004,69.900002,23492900,63.083291
"17",69.660004,80.019997,66.400002,76.110001,28374000,68.687686
"18",73.669998,74.349998,67.230003,72.980003,23554100,66.539337
"19",72.860001,77.339996,70.389999,76.339996,17629700,69.602802
"20",77.849998,82.970001,76.82,79.739998,16081700,72.702745
"21",80.110001,83.290001,79.389999,81.620003,10457700,74.416835
"22",81.230003,87.370003,78.610001,86.879997,12132200,79.897855
"23",86.519997,88,83.860001,86.269997,12739800,79.336877
"24",86.400002,87.510002,80.309998,81.32,13291200,75.421543
"25",79.82,83.110001,76.919998,82.57,11091100,76.580875
"26",83.040001,87.559998,82.290001,85.839996,10895200,79.613686
"27",86.120003,90.5,83.540001,86.900002,16961000,81.239226
"28",86.809998,95.980003,86.339996,95.160004,19276400,88.961161
"29",95.57,105.330002,95.019997,104.099998,20841000,97.318793
"30",104.260002,104.949997,95.709999,97.730003,17108800,92.019154
"31",97.900002,101.629997,95.68,98.470001,16311200,92.71591
"32",100.330002,104.919998,99.589996,102.690002,17495800,96.689316
"33",103.230003,105.889999,100.879997,102.089996,12988700,96.784373
"34",101.589996,104.870003,100.760002,103.160004,13642200,97.798772
"35",103.18,105.25,95.68,100.199997,19600800,94.992597
"36",99.870003,107.410004,99.339996,104.900002,11305200,100.109509
"37",105.160004,112.010002,100.669998,111.75,17495500,106.646687
"38",112,119.540001,111.790001,116.860001,17424100,111.523328
"39",118.089996,119.440002,112.440002,113.339996,13800800,108.829458
"40",114.360001,116.489998,109.470001,111.919998,17303700,107.46597
"41",111.959999,116.169998,109.230003,112.529999,23043000,108.051695
"42",112.580002,117.099998,110.389999,115.360001,13535400,111.440637
"43",115.07,117.290001,111.57,116.419998,20712200,112.464621
"44",116.379997,116.849998,110,111.510002,27097600,107.721443
"45",111.360001,117.720001,109.160004,116.589996,14430000,113.314288
"46",115.449997,123.040001,114.769997,121.300003,15980100,117.891963
"47",121.800003,124.160004,116.099998,122.010002,16558400,118.582014
"48",122.230003,123.440002,117.150002,121.370003,13760000,118.640106
"49",121.389999,125.900002,120.309998,124.050003,15391800,121.259827
"50",124.550003,125.699997,120.68,121.5,13396900,118.76718
"51",121,124.5,118.510002,123.629997,9262600,121.536582
"52",124,128.690002,123.120003,123.290001,10351200,121.202343
"53",123.260002,123.93,112.419998,122.18,19834700,120.111138
"54",122.620003,126.800003,120.370003,126.019997,9917800,124.577001
"55",125.139999,128.960007,119.580002,125.620003,15212900,124.181587
"56",126.419998,126.790001,111.779999,113.160004,18306900,111.864262
"57",114.010002,124.800003,113.209999,121,13902300,120.307272
"58",121,129.580002,120.830002,127,19156500,126.272922
"59",126.910004,127.519997,117.860001,119.669998,25787400,118.984884
"60",120.449997,124.349998,118.800003,120.879997,15200900,120.879997
"61",121.489998,127.129997,119.559998,126.43,5188900,126.43
