"","stock_data$NKE.Open","stock_data$NKE.High","stock_data$NKE.Low","stock_data$NKE.Close","stock_data$NKE.Volume","stock_data$NKE.Adjusted"
"1",71.190002,75.919998,67.300003,67.550003,107904000,31.556632
"2",67.889999,74.110001,66.339996,73.639999,134174400,34.401633
"3",74.389999,75,68.32,70,110846600,32.701172
"4",71.129997,81.699997,70.82,80.139999,141569800,37.578837
"5",80.959999,83.400002,79.040001,81.440002,111306400,38.188428
"6",81.879997,86.970001,80.260002,86.129997,94944400,40.387636
"7",87.480003,92.489998,85.120003,85.419998,106241400,40.19689
"8",85.830002,86.580002,81.010002,82.480003,90801800,38.813389
"9",82.75,89.160004,82.620003,89.029999,88590200,41.895682
"10",89.650002,91.120003,69.43,75.699997,212570600,35.748321
"11",75.940002,82.730003,75.82,82.32,111550400,38.874529
"12",82.779999,86.529999,81.410004,84.449997,98617600,39.880392
"13",84.339996,90.580002,79.440002,89.980003,168669400,42.652818
"14",89.650002,94.230003,88.550003,90.150002,120763200,42.733401
"15",90.419998,90.459999,76.980003,86.650002,173070600,41.074312
"16",86.349998,92.559998,80.199997,85.510002,163565000,40.679457
"17",84.949997,97.68,81.010002,96.349998,116347400,45.836341
"18",93.510002,97.5,89.790001,96.18,98009200,45.755468
"19",95.360001,98.25,92.889999,96.370003,110944800,46.018103
"20",97.370003,104.940002,96.510002,103.989998,96731000,49.656763
"21",104.410004,108.279999,102.57,107.919998,74236800,51.533397
"22",108.889999,112.970001,106.07,108.440002,115420200,51.955019
"23",108.419998,112,105.93,111.870003,89004600,53.598377
"24",111.910004,114.809998,104.269997,108.18,102506800,52.002818
"25",106.290001,109.910004,85.099998,87.779999,169719400,42.196407
"26",88.389999,97.75,88.029999,93.349998,138913000,44.873941
"27",93.510002,99.290001,91.040001,97.360001,106370200,46.972923
"28",97.190002,100.919998,92.790001,94.910004,126239000,45.790882
"29",94.910004,98.099998,90.32,91.379997,99138600,44.087773
"30",91.900002,100.330002,89.650002,97.480003,94484200,47.03082
"31",97.660004,106.230003,50.59,51.599998,93730100,50.005534
"32",52.400002,55.57,51.400002,54.049999,74634100,52.379828
"33",54.459999,55.900002,53.5,54.459999,61673900,52.981911
"34",54.419998,60.25,53.27,59.009998,98896800,57.40842
"35",59,63.77,57.98,63.599998,73656100,61.873844
"36",63.560001,66.07,61.560001,61.66,71603000,60.187346
"37",61.599998,64.07,59.110001,63.68,89655100,62.159101
"38",63.939999,64.660004,61.900002,62.919998,69596900,61.417251
"39",63.240002,66.849998,62.599998,62.82,68319700,61.523521
"40",63.610001,75.25,63.5,72.639999,113099100,71.140856
"41",73.040001,76.889999,69.959999,75.760002,89209000,74.196468
"42",75.800003,79.870003,75.580002,79.139999,51123800,77.506709
"43",79.470001,80.260002,75.419998,78.639999,81139400,77.258335
"44",78.150002,78.830002,71.510002,72.849998,83985300,71.570062
"45",72.760002,79.059998,69.849998,78.300003,68440100,77.16046
"46",77.629997,80.089996,73.010002,73.860001,89265900,72.785076
"47",74.019997,75.18,70.599998,72.949997,83063200,71.888316
"48",72.809998,76.93,71.529999,76.910004,56722000,76.029935
"49",76.989998,79.150002,73.139999,77.550003,82659800,76.662611
"50",77.730003,79.940002,76.300003,77.129997,67200900,76.247411
"51",76.540001,80.300003,75.900002,78.550003,57656400,77.885644
"52",78.349998,90.290001,78.349998,89.199997,108601200,88.445563
"53",88.910004,94.139999,83.849998,92.970001,91794100,92.183681
"54",93.349998,99.760002,92.620003,99.290001,49743200,98.450228
"55",98.660004,99.5,92.830002,96.150002,84349900,95.610911
"56",96.550003,97.449997,92.029999,92.25,65441100,91.732775
"57",92.68,97.410004,90.690002,97.120003,69418900,96.855576
"58",96.889999,103.790001,95.18,100.330002,94679100,100.056835
"59",100,102,98.139999,98.839996,56243400,98.570887
"60",99.879997,105.5,99.410004,101.669998,57033400,101.669998
"61",101.769997,104.029999,100.779999,103.339996,18260600,103.339996
