"","stock_data$PCAR.Open","stock_data$PCAR.High","stock_data$PCAR.Low","stock_data$PCAR.Close","stock_data$PCAR.Volume","stock_data$PCAR.Adjusted"
"1",40.259998,45.41,39.759998,39.869999,46268000,35.097674
"2",39.869999,47.580002,38.599998,45.82,72764000,40.335476
"3",46.540001,47.139999,39.77,40.98,58989900,36.15153
"4",41.759998,48.560001,41.610001,48.150002,55085900,42.476726
"5",48.68,51.709999,47.139999,51.259998,56283300,45.220287
"6",51.959999,55.5,51.02,53.860001,49903800,47.624787
"7",55.490002,57.830002,55.189999,57.34,54836900,50.969142
"8",58.029999,58.75,54.290001,56.490002,43228000,50.213584
"9",54.98,55,49.259998,50.130001,62558900,44.661805
"10",50.220001,52.630001,46.5,52.360001,64558100,46.648555
"11",52.889999,54.580002,49.209999,53.110001,58035800,47.316745
"12",53.439999,54,48.98,50,40437000,44.651085
"13",49.970001,51.299999,45.189999,51.09,56789300,45.624479
"14",51.240002,53.68,42.25,42.810001,69656100,38.23026
"15",43.279999,43.66,33.630001,37.630001,121400700,33.764007
"16",37.790001,39.380001,33,33.82,86120800,30.345434
"17",33.509998,44.34,31.57,43.240002,76675400,38.797653
"18",41.919998,44.110001,36.84,40.57,62930100,36.561616
"19",40.490002,41.290001,35.380001,37.470001,48246200,34.41409
"20",38.57,46.630001,38.360001,44.200001,67258300,40.595217
"21",45.18,47,42.610001,46.009998,65369600,42.43351
"22",46.25,48,43.869999,46.830002,41102800,43.189772
"23",46.709999,48.220001,41.060001,42.950001,60616400,39.611374
"24",42.93,43.18,37,37.57,66669500,34.828413
"25",36.869999,40.639999,35.549999,39.189999,56310500,36.330196
"26",39.310001,41.049999,35.209999,40.009998,59945000,37.090358
"27",40.299999,41.939999,37.669998,39.91,37922500,37.178573
"28",39.779999,43.380001,38.759998,40.02,41847600,37.281045
"29",40.200001,43.509998,39.52,43.369999,63201100,40.401771
"30",43.5,45.68,41.169998,43.939999,49805700,41.124978
"31",44.110001,45.439999,42.869999,45.209999,42062000,42.313616
"32",46.220001,48.75,45.419998,47.060001,41480100,44.045098
"33",47.52,48.700001,45.810001,47.450001,32650500,44.596202
"34",47.23,51.380001,45.869999,50.560001,39926000,47.519156
"35",50.560001,50.860001,47.119999,49.779999,48051500,46.786066
"36",49.529999,55.049999,49.360001,53.599998,37608500,50.56746
"37",53.889999,54.650002,51.130001,53.66,29197800,50.624067
"38",53.66,60,52.59,56.27,33881600,53.086401
"39",56.75,57.130001,53.389999,53.610001,22686800,50.756919
"40",54.529999,58.419998,53.07,55.66,26804900,52.697819
"41",55.619999,58.77,53.669998,55.599998,34405700,52.641011
"42",55.779999,57.830002,55.029999,57.310001,25012700,54.451705
"43",57.200001,59.349998,55.009998,59.169998,25502300,57.107384
"44",58.939999,60.169998,55.119999,56,35798500,54.047889
"45",55.669998,66.459999,53.59,65.839996,50804900,63.760316
"46",65.029999,68.809998,64.699997,67.440002,39031700,65.309783
"47",68,68.379997,62.82,63.98,42417700,61.959071
"48",63.73,64.739998,60.209999,63.360001,33499300,61.5768
"49",63.369999,65.589996,62.59,62.830002,33520700,61.061718
"50",63.43,67.639999,62.200001,62.27,32657400,60.517477
"51",62,64.449997,60.509998,62.810001,23803000,61.260643
"52",63.099998,63.220001,56.610001,56.880001,35610300,55.47692
"53",56.709999,66.209999,55.34,65.32,59152000,63.708726
"54",65.199997,68.040001,64.900002,67.019997,29448100,65.583693
"55",67.029999,71.150002,66.220001,68.010002,41770200,67.549971
"56",68.220001,68.870003,59.990002,60.110001,46454200,59.703406
"57",60.41,65.080002,59.330002,64.050003,33479700,63.839122
"58",64.260002,65.230003,60.279999,63.139999,35277700,62.932115
"59",63.009998,68.440002,60.5,65.349998,39155800,65.134837
"60",65.400002,67.169998,63.419998,63.560001,29085400,63.560001
"61",64.230003,65.25,63.16,65.040001,9917400,65.040001
