"","stock_data$PEG.Open","stock_data$PEG.High","stock_data$PEG.Low","stock_data$PEG.Close","stock_data$PEG.Volume","stock_data$PEG.Adjusted"
"1",32.220001,34.209999,31.299999,31.33,56174500,25.332478
"2",31.43,34.93,30.92,32.900002,68491700,26.601934
"3",33.150002,33.540001,31.18,31.959999,74000100,25.841876
"4",32.25,33.279999,31.26,33.080002,58879200,27.029011
"5",33.369999,33.970001,32.200001,32.34,56118200,26.42437
"6",32.470001,33.439999,30.35,30.83,65150200,25.190579
"7",31.25,31.93,30.84,31.809999,70397500,26.275262
"8",32.009998,32.849998,30.91,32.43,54569600,26.787386
"9",32.610001,33.119999,31.049999,32.700001,51232100,27.010408
"10",32.59,32.73,30.15,31.51,66032000,26.314268
"11",31.709999,32.23,30.299999,32.169998,58957500,26.865438
"12",32.189999,34.220001,31.67,33.5,64403000,27.976133
"13",33.34,33.52,31.07,32.639999,58156700,27.549772
"14",32.68,33.48,31.450001,32.75,44934800,27.642618
"15",33.02,34.189999,27.969999,34.130001,112542600,28.807407
"16",34.119999,35.48,31.870001,33.369999,70068000,28.462759
"17",33.349998,34.959999,31.24,33.700001,71788100,28.744232
"18",32.59,34.490002,31.049999,32.939999,75620900,28.095992
"19",32.759998,33.220001,30.6,33.009998,57293200,28.454624
"20",33.189999,33.25,29.969999,30.34,65294300,26.153085
"21",30.43,31.6,29.82,30.780001,82617600,26.532366
"22",30.860001,31.16,29.59,30.610001,67272400,26.695323
"23",30.6,31.219999,28.92,31.15,67925900,27.166262
"24",31.219999,32.18,30.4,31.190001,98345900,27.201147
"25",30.959999,32.509998,30.940001,32.5,62416700,28.668664
"26",32.66,34.07,31.92,33.240002,42709200,29.321429
"27",33.18,33.66,31.5,31.66,55531200,27.927689
"28",31.65,32.25,31.190001,32.18,45670100,28.708086
"29",32.18,33.360001,31.67,32.040001,42785300,28.583192
"30",31.83,31.83,29.049999,30.09,55224300,26.843577
"31",30.09,31,29.35,30.6,49816300,27.628572
"32",30.9,31.200001,29.700001,31.18,55970900,28.152251
"33",31.200001,32.759998,30.780001,32.59,76473000,29.425332
"34",32.57,34.369999,32.32,34.34,49361100,31.342718
"35",34.290001,36.889999,34.009998,36.610001,49891200,33.414587
"36",36.669998,37,32.860001,33.040001,58303400,30.156186
"37",33.02,33.34,31.030001,32.66,64265500,30.139752
"38",32.77,34.790001,31.32,33.790001,45218500,31.182555
"39",33.939999,34.529999,31.9,32.419998,50612100,29.91827
"40",32.630001,34.220001,31.549999,32.93,59996000,30.733158
"41",33.259998,34.549999,32.599998,33.5,61990000,31.265131
"42",33.68,34.290001,32.610001,32.689999,81204400,30.509167
"43",32.73,33.060001,31.389999,32.040001,79750800,30.233558
"44",31.91,33.5,31.25,33.34,95144600,31.460262
"45",33.43,37.34,32.869999,36.66,80369700,34.593077
"46",36.459999,38.439999,35,38.139999,69888500,36.360866
"47",38.119999,41.380001,37.34,40.970001,83827100,39.058856
"48",41.02,41.349998,36.91,38.959999,87826700,37.142615
"49",38.959999,40.93,37.060001,40.790001,61327000,39.258085
"50",40.68,40.68,35.110001,35.169998,74970800,33.849148
"51",35.189999,37.41,34.049999,37.389999,68497300,35.985774
"52",37.279999,38.32,36.040001,37.240002,72024400,36.207643
"53",37.290001,41.630001,36.369999,41.310001,78693200,40.164815
"54",41.34,42.060001,39.040001,41.779999,71788000,40.621784
"55",41.490002,43.77,40.310001,41.41,77263700,40.629324
"56",41.5,44.450001,40.639999,42.68,62230900,41.875382
"57",42.630001,43.689999,39,42.060001,71109700,41.267071
"58",42,42.639999,39.529999,41.919998,72894600,41.52037
"59",41.25,42.810001,40.599998,41.540001,52120200,41.143996
"60",41.34,43.970001,41.099998,42.630001,66926800,42.223605
"61",42.77,43.209999,40.02,40.240002,25427500,40.240002
