"","stock_data$PFE.Open","stock_data$PFE.High","stock_data$PFE.Low","stock_data$PFE.Close","stock_data$PFE.Volume","stock_data$PFE.Adjusted"
"1",14.65,15.6,14.17,14.26,837764500,11.84756
"2",14.29,15.44,14,15,1031865200,12.46237
"3",15.16,16.6,15.1,15.91,1210988000,13.365656
"4",16.129999,17.5,16.07,17.17,902766700,14.424156
"5",17.25,17.9,16.860001,17.42,930284000,14.634175
"6",17.629999,17.84,16.25,16.299999,875729500,13.834859
"7",16.49,17.700001,16.42,17.51,854063500,14.861865
"8",17.700001,18.76,17.620001,18.219999,1114064700,15.464487
"9",18.49,19.389999,18.459999,19.24,918303700,16.501943
"10",19.35,20.57,18.969999,20.309999,1218679200,17.419671
"11",20.35,21.059999,19.1,20.969999,924103700,17.985746
"12",21.139999,21.450001,20.07,21.450001,948835400,18.575536
"13",21.34,21.450001,20.030001,20.6,966550100,17.839442
"14",20.5,20.950001,19.049999,19.25,853540100,16.670352
"15",19.440001,19.459999,16.629999,18.98,1502956500,16.619772
"16",18.91,19.15,17.299999,17.68,1002598100,15.481432
"17",17.690001,19.950001,17.049999,19.26,899774000,16.864954
"18",19.15,20.15,18.15,20.07,1057244200,17.751119
"19",20.030001,21.9,19.73,21.639999,909964100,19.139721
"20",21.860001,22.17,21.219999,21.4,948313900,18.927451
"21",21.25,21.530001,20.75,21.129999,670496500,18.882768
"22",21.07,22.799999,21.049999,22.65,771001600,20.241113
"23",22.540001,23.299999,21.77,22.9,844240400,20.464524
"24",22.629999,22.99,21.85,21.870001,829761700,19.737749
"25",21.76,23,21.4,23,572525900,20.757578
"26",22.85,24.49,22,24.040001,867011600,21.696182
"27",23.92,24.370001,23.59,23.860001,587670300,21.732615
"28",23.790001,25.15,23.629999,24.85,543635100,22.634346
"29",24.799999,26.09,24.799999,24.870001,543592000,22.652563
"30",24.82,25.08,23.549999,25.02,684861600,22.993909
"31",25.040001,25.790001,24.629999,25.08,597201100,23.04905
"32",25.530001,27.84,25.33,27.280001,783142300,25.290016
"33",27.58,27.799999,26.790001,27.370001,550543400,25.37345
"34",27.18,28.9,27.15,28.860001,585696000,26.75476
"35",28.75,31.15,28.639999,29.07,777255500,26.94944
"36",28.83,30.040001,27.23,27.23,903776400,25.4541
"37",27.299999,29.809999,27.120001,28.01,2211564500,26.18323
"38",27.969999,30.43,27.33,29.23,765847900,27.546485
"39",29.43,29.450001,27.76,28.209999,512823000,26.585232
"40",28.379999,29.27,27.860001,28.73,508214700,27.075283
"41",28.58,31.35,28.02,30.690001,622467800,28.922397
"42",30.700001,32.5,30.690001,31.73,462250400,30.133999
"43",31.610001,31.93,29.950001,30.629999,528149100,29.089328
"44",30.469999,31.42,29.66,30.4,547269600,28.870898
"45",31.030001,32.41,30.57,32.110001,533056600,30.749174
"46",31.52,32.959999,30.83,32.119999,571300000,30.758748
"47",31.93,32.689999,29.58,31.280001,671875400,29.954349
"48",31.08,31.58,28.77,29.629999,686948500,28.627182
"49",29.59,29.92,29.15,29.68,483905800,28.675491
"50",29.610001,31.309999,28.700001,28.700001,530987700,27.973296
"51",28.700001,29.67,27.870001,29.389999,461117900,28.645824
"52",29.209999,30.84,29.01,29.57,474084200,28.821266
"53",29.370001,30.200001,27.51,29.950001,677081200,29.191646
"54",29.9,31.639999,29.76,31.15,406676000,30.624216
"55",30.879999,33.119999,30.58,31.15,533246000,30.624216
"56",31.27,33.5,31.01,31.25,598304700,30.722529
"57",31.440001,34.970001,31.02,34.32,605010300,34.038359
"58",34.32,35.450001,33.630001,34.790001,654758000,34.504503
"59",34.84,35.529999,33.709999,33.93,556389300,33.65156
"60",33.860001,34.990002,33.209999,34.75,436458700,34.75
"61",34.77,34.919998,33.889999,34.310001,170115400,34.310001
