"","stock_data$PNW.Open","stock_data$PNW.High","stock_data$PNW.Low","stock_data$PNW.Close","stock_data$PNW.Volume","stock_data$PNW.Adjusted"
"1",35.400002,37.900002,35.18,36.360001,14953200,29.364591
"2",36.43,40.34,35.709999,38.09,23360300,31.173581
"3",38.52,40.439999,38.32,39.849998,23827400,32.613997
"4",40.360001,41.75,40.040001,41.27,15545200,33.776154
"5",41.110001,42.68,40.93,41.16,19737000,34.114913
"6",41.25,42.439999,39.970001,40.419998,14069300,33.501572
"7",40.919998,41.990002,40.150002,41.450001,12726200,34.355276
"8",41.560001,42.259998,40.709999,40.709999,17810900,34.166693
"9",40.889999,42.419998,40.700001,42.23,12692900,35.442384
"10",42.439999,44.07,41.23,42.790001,23516100,35.912377
"11",43.099998,43.470001,41.93,43.389999,11923600,36.864147
"12",43.630001,45.639999,43.540001,45.259998,16525000,38.452898
"13",45.220001,45.220001,42.540001,44.580002,14477400,37.875173
"14",44.580002,45.150002,41.860001,42.349998,16338500,36.422789
"15",42.57,44.490002,37.279999,44.240002,30468700,38.048272
"16",44.470001,45.080002,41.43,42.939999,18943700,36.930214
"17",42.900002,47.360001,40.869999,45.580002,23965900,39.643365
"18",44.049999,47.450001,43.970001,47.41,19111300,41.235012
"19",47.419998,48.869999,45.110001,48.18,21275900,41.904723
"20",48.860001,48.860001,47,47.259998,18867100,41.557195
"21",47.57,48.380001,46.810001,47.029999,12625700,41.35495
"22",47.110001,48.220001,46.150002,47.900002,14042600,42.11997
"23",47.830002,48.560001,45.950001,48.349998,14279000,42.981797
"24",48.27,49.59,47.41,49.380001,18024300,43.89744
"25",49.439999,52.299999,48.369999,51.740002,16817600,45.995415
"26",52.060001,54.66,51.5,53.540001,15884000,48.060064
"27",53.68,54.560001,51.189999,51.369999,11875600,46.112166
"28",51.5,53.990002,51.389999,52.799999,12898800,47.395803
"29",52.849998,54.200001,52.349998,52.970001,10040300,48.043747
"30",53.32,53.360001,48.73,51.459999,15057200,46.674176
"31",51.580002,52.459999,50.119999,50.98,12303400,46.238817
"32",51.720001,53.619999,51.5,53.380001,16183300,48.913991
"33",53.580002,56.009998,52.950001,55.939999,13120000,51.259808
"34",55.900002,57.959999,55.560001,57.889999,10829500,53.046663
"35",57.889999,61.09,57.41,60.900002,16137300,56.310425
"36",60.82,61.889999,55.599998,56.48,17604300,52.223525
"37",56.490002,58.130001,51.560001,55.470001,21768700,51.289643
"38",55.849998,60.330002,54.02,58.900002,12731500,54.96367
"39",59.279999,59.98,53.860001,54.27,13630700,50.643095
"40",54.529999,56.119999,52.029999,54.740002,17647000,51.081686
"41",54.900002,58.700001,53.84,56.029999,22504300,52.805832
"42",56.080002,56.720001,52.810001,53.360001,20923100,50.289475
"43",53.330002,53.970001,52.32,52.919998,20971900,49.874792
"44",53,53.810001,51.369999,52.630001,17484900,50.152266
"45",52.630001,55.990002,51.150002,55.650002,21817400,53.03009
"46",55.419998,55.779999,53.290001,54.66,20405300,52.086696
"47",54.66,57.310001,53.709999,55.950001,19928300,53.315966
"48",55.619999,57.09,53.810001,55.419998,20066100,53.352545
"49",55.450001,58.060001,53.040001,57.84,14103500,55.682269
"50",57.720001,57.950001,53.290001,53.490002,20630200,52.018142
"51",53.509998,56.970001,52.130001,56.950001,19992700,55.382934
"52",57.040001,57.740002,54.130001,54.639999,18303300,53.136495
"53",54.700001,61.560001,54.59,61.470001,17886200,60.379728
"54",61.75,63.5,60.610001,63.23,14245200,62.10851
"55",62.849998,71.110001,62.599998,68.309998,26347200,67.098405
"56",68.580002,73.309998,67.690002,70.18,18807600,69.515183
"57",70.18,70.709999,63.810001,64.080002,19565700,63.47297
"58",63.93,65.43,61.529999,63.75,17347300,63.146095
"59",63.759998,64.949997,60.779999,61.200001,14978600,61.200001
"60",60.950001,61.880001,58.369999,60.919998,16780400,60.919998
"61",61.040001,61.34,56.810001,57.09,6286100,57.09
