"","stock_data$TAP.Open","stock_data$TAP.High","stock_data$TAP.Low","stock_data$TAP.Close","stock_data$TAP.Volume","stock_data$TAP.Adjusted"
"1",43.610001,44.950001,42.25,42.360001,16375900,37.167053
"2",42.490002,46.950001,41.880001,45.009998,20515800,39.492185
"3",45.43,47.130001,43.099998,43.560001,22340100,38.464105
"4",43.810001,47.77,43.720001,47.220001,19608400,41.695937
"5",47.610001,49.450001,46.169998,47.23,23048500,41.704766
"6",47.290001,50.450001,47.09,47.650002,23150700,42.314506
"7",48.189999,51.110001,47.869999,50.189999,17055000,44.570092
"8",50.439999,50.439999,46.389999,46.869999,23546400,41.621842
"9",47.099998,48.41,44.509998,45.73,26559300,40.862285
"10",45.830002,47.130001,42.5,46.889999,37612500,41.898809
"11",46.990002,49.580002,46.57,48.75,18949900,43.560823
"12",48.849998,48.880001,44.279999,46.650002,32035400,41.684358
"13",46.59,46.619999,43.41,44.740002,26256300,40.257232
"14",45,46.720001,43.23,45.049999,21197700,40.536169
"15",45.32,45.48,40.52,43.75,43586500,39.66388
"16",43.84,43.93,38.720001,39.610001,25566400,35.910545
"17",39.439999,43.049999,37.990002,42.34,24369500,38.38557
"18",41.369999,41.700001,37.990002,40.59,27951600,37.111532
"19",40.509998,44.139999,40.02,43.540001,23317800,39.808725
"20",44.09,45.060001,42.380001,42.889999,20079300,39.214427
"21",43.240002,45.990002,43.169998,43.939999,21232400,40.174444
"22",43.580002,45.41,41.959999,45.25,26659800,41.675692
"23",45.200001,45.919998,40.599998,41.580002,39727600,38.295588
"24",41.599998,43.049999,38.419998,38.450001,29633800,35.701321
"25",38.07,41.68,37.959999,41.610001,21601700,38.635421
"26",41.84,42.689999,39.880001,42.32,18710700,39.294664
"27",42.459999,44.799999,40.849998,44.540001,28936500,41.657421
"28",44.630001,46.349998,44.299999,45.049999,18976600,42.134413
"29",44.689999,45.189999,42.650002,43.139999,28951900,40.348026
"30",43.259998,43.709999,39.459999,41.459999,34112100,39.087666
"31",41.66,44,41.32,42.790001,21052600,40.341565
"32",43.419998,45.75,41.259998,45.18,25676400,42.59481
"33",45.490002,47.09,43.380001,44.209999,30040800,41.980239
"34",44.09,49.290001,44.09,48.93,23564200,46.462183
"35",49.849998,53.099998,49.599998,51.599998,31925300,48.997518
"36",51.57,53.349998,48.849998,49.41,29198300,47.209164
"37",49.68,51.189999,46.939999,47.860001,27594500,45.728206
"38",48.18,51.939999,47.16,50.060001,33414800,47.830213
"39",50.57,53.75,48.18,48.790001,35802900,46.920225
"40",49.5,52.150002,48.25,50.130001,18368900,48.208873
"41",50.150002,55.540001,49.43,54,21209600,51.930562
"42",54.09,56.259998,52.52,52.669998,16313200,50.956602
"43",52.720001,56.490002,52.110001,56.150002,17393300,54.323398
"44",55.950001,57.18,52.549999,52.639999,23565200,50.927579
"45",52.599998,57.540001,50.900002,56.830002,19965700,55.338929
"46",56.5,59.150002,56.060001,58.860001,16757800,57.315666
"47",58.93,60.900002,56.599998,59.970001,22771600,58.396543
"48",60.060001,65.800003,59.610001,65.730003,30355600,64.373033
"49",65.599998,75.550003,65.349998,74.160004,42368300,72.629
"50",74.169998,74.690002,67.470001,67.529999,26063400,66.135869
"51",67.169998,75.610001,66.949997,73.949997,25361300,72.786625
"52",74.169998,77.779999,70.029999,74.440002,41072200,73.268922
"53",74,75.330002,66.169998,74.379997,40192000,73.209861
"54",74.470001,77.93,73.900002,77.349998,24095700,76.507532
"55",76.900002,77.489998,70.809998,74.519997,29485500,73.708353
"56",74.639999,78.919998,72.400002,75.93,24626900,75.103
"57",76.389999,78.610001,71.849998,75.889999,33403400,75.467528
"58",75.889999,76.199997,71.489998,74.449997,31963800,74.035542
"59",74.019997,79.18,73.330002,73.510002,33724600,73.10078
"60",73.589996,76.300003,71.5,73.379997,33663200,73.379997
"61",73.32,75.120003,71.620003,72.650002,15911900,72.650002
