"","stock_data$TIE.Open","stock_data$TIE.High","stock_data$TIE.Low","stock_data$TIE.Close","stock_data$TIE.Volume","stock_data$TIE.Adjusted"
"1",18.69,21.29,17.52,17.59,71791100,8.5536
"2",17.48,26500,16.87,22.14,70429000,10.7661
"3",22.66,22.93,17.41,18.16,66625400,8.8308
"4",18.57,23100,17.99,19.96,46319700,9.7061
"5",20.38,21.1,18.58,19.66,46224600,9.5602
"6",19.9,17900,16.81,17.27,48327500,8.398
"7",17.77,19300,16.6,17.18,58555200,8.3542
"8",17.4,20400,16.51,18.85,63035500,9.1663
"9",19.02,15500,18.42,18.99,45242300,9.2344
"10",19.05,19.11,17,18.58,56722000,10.3315
"11",18.7,11500,17.5,20.03,41648000,11.1378
"12",20.22,9000,17.96,18.73,58256300,10.4149
"13",18.64,18.67,16.03,18.32,53495600,10.2318
"14",18.31,9300,17.35,17.79,37732200,9.9358
"15",18.19,18.22,13.28,16.03,75730000,8.9528
"16",15.96,8200,14.32,14.98,55254700,9.4927
"17",14.81,17.95,13.52,16.75,42583500,10.6144
"18",15.88,17.06,14,15.58,42856700,9.8729
"19",15.58,16.52,14.34,14.98,34519800,9.5362
"20",14.98,16.53,14.94,15.38,25345600,9.7908
"21",15.51,16.14,14.58,14.66,27892100,9.3325
"22",14.69,14.7314,13.3,13.56,34927000,9.9825
"23",13.53,14.79,12.75,14.77,37192100,10.8733
"24",14.77,15.05,11.29,11.48,43414800,8.4513
"25",11.2,11.95,10.42,11.31,39104300,8.3803
"26",11.33,11.9,10.79,11.66,28723500,8.6396
"27",11.72,13.16,11.33,12.24,33891900,9.0694
"28",12.24,13.93,11.78,12.83,28629400,9.5667
"29",12.94,12.98,11.68,11.71,27082800,8.7316
"30",11.84,16.69,11.3,16.62,101304400,12.3927
"31",16.59,16.59,16.39,16.51,50886500,12.3669
"32",16.51,13100,16.49,12300,3778500,9213.3548
"33",12200,13500,10400,11100,470700,9353.802
"34",11100,13000,10900,12200,472200,10280.7554
"35",11900,12300,10800,11400,212500,9606.6075
"36",11400,11600,10700,11400,285400,9606.6075
"37",11400,11800,11200,11400,270000,9606.6075
"38",11400,13400,11300,12300,440500,10365.0238
"39",12300,12800,11000,11300,129400,9522.339
"40",11300,11800,10800,11400,108000,9606.6075
"41",11200,14400,11000,13600,1102800,11460.5142
"42",13600,15800,13500,15400,1543500,12977.3469
"43",15500,18900,15200,16800,2736500,14157.1057
"44",16800,19600,16400,19500,1575600,16432.3549
"45",19500,23500,19100,21600,2639300,19116.6667
"46",21600,22900,20300,21700,1343100,19205.1698
"47",21600,21800,16700,16900,582200,14957.0216
"48",16900,16900,12700,15400,804000,13629.4753
"49",15000,15500,14000,14900,386200,13186.9599
"50",14900,16400,14700,15200,968300,13452.4692
"51",15300,16200,15300,15900,609200,14071.9908
"52",15900,17900,15800,17500,621800,15488.0401
"53",17500,17500,15600,15700,177000,13894.9846
"54",15700,16100,14800,15400,141300,14069.1357
"55",15200,15500,13900,14600,67000,13338.2715
"56",14600,16400,14000,16000,165300,14617.2838
"57",16000,16900,14500,14600,16100,14600
"58",14900,14900,13100,14300,4600,14300
"59",14300,14600,12600,13300,7000,13300
"60",13300,13300,11500,12200,12900,12200
"61",11800,12300,11300,12100,2600,12100
