"","stock_data$USB.Open","stock_data$USB.High","stock_data$USB.Low","stock_data$USB.Close","stock_data$USB.Volume","stock_data$USB.Adjusted"
"1",22.940001,24,22.299999,22.35,231117200,20.106173
"2",22.26,24.559999,21.73,23.9,267071700,21.50056
"3",24.200001,24.52,20.440001,20.799999,215634500,18.711784
"4",21.1,23.6,21.049999,21.620001,277937100,19.49405
"5",21.77,24.540001,21.58,24.200001,324294700,21.820352
"6",24.200001,26.389999,23.57,23.780001,279391800,21.441652
"7",24.110001,27.299999,23.879999,26.969999,248483700,24.362788
"8",27.200001,27.68,25.65,27,279591400,24.389888
"9",27.059999,28.940001,26.950001,27.73,189867500,25.049318
"10",27.790001,27.940001,25.690001,26.43,258881700,23.986576
"11",26.73,27.049999,24.709999,25.82,292950500,23.432969
"12",25.91,26.059999,24.75,25.6,210822900,23.233309
"13",25.48,25.610001,23.66,25.51,275930400,23.270016
"14",25.459999,27.17,24.16,26.059999,253215100,23.771721
"15",26.34,26.360001,20.1,23.209999,462232900,21.171974
"16",23.07,25.01,20.75,23.540001,382631600,21.585093
"17",23.370001,26.639999,21.84,25.59,411527000,23.464848
"18",24.459999,26.370001,23.719999,25.92,278593300,23.767443
"19",25.66,27.58,25.309999,27.049999,227816500,24.917649
"20",27.610001,29.42,27.209999,28.219999,294133500,25.995418
"21",28.440001,29.74,28.290001,29.4,203980500,27.082399
"22",29.43,32.23,28.26,31.68,280292200,29.363351
"23",31.549999,32.549999,30.33,32.169998,206111200,29.817517
"24",32.060001,32.98,30.120001,31.110001,230592200,28.835033
"25",30.52,32.18,28.58,32.16,247222400,29.995062
"26",32.470001,34.099998,31.76,33.5,201916800,31.244856
"27",33.630001,33.889999,32.580002,33.41,153887900,31.160915
"28",33.330002,35.150002,33.009998,34.299999,194789900,32.174884
"29",34.450001,35.459999,33,33.209999,184868700,31.152417
"30",33.279999,33.970001,30.959999,32.259998,159197700,30.261275
"31",32.349998,32.66,31.280001,31.940001,217315600,30.143308
"32",32.459999,33.799999,32.400002,33.099998,221440700,31.238053
"33",33.369999,34.400002,32.84,33.98,172033800,32.068552
"34",33.75,34.73,33.400002,33.93,194183400,32.207899
"35",33.93,34.43,31.99,33.279999,227095800,31.590888
"36",33.220001,35.93,32.529999,35.060001,227171700,33.280547
"37",35.080002,36.400002,34.799999,36.150002,208967700,34.536242
"38",36.360001,37.970001,36,37.32,189641600,35.65401
"39",37.66,37.93,35.889999,36.130001,128982200,34.517134
"40",36.459999,38.23,35.830002,36.580002,156588100,35.16708
"41",36.689999,38.25,35.689999,37.360001,175423200,35.91695
"42",37.369999,39.610001,37.220001,39.220001,143703600,37.705108
"43",39.290001,40.830002,38.299999,40.400002,170916900,39.061249
"44",39.869999,41.860001,39.450001,39.73,190901700,38.413449
"45",39.700001,41.470001,38.720001,41.139999,128911900,39.776725
"46",40.880001,43.66,40.5,42.860001,144770600,41.662994
"47",43.59,43.59,39.860001,40.779999,177678700,39.641083
"48",40.759998,42.330002,39.919998,42.189999,132783900,41.011704
"49",42.220001,43.919998,41.82,43.32,131050700,42.349437
"50",43.450001,43.75,41.580002,42.029999,134023800,41.088338
"51",41.849998,42.610001,40.580002,42.279999,98866500,41.332737
"52",42.34,43.580002,41.439999,41.830002,129157100,41.133511
"53",41.860001,42.599998,38.099998,42.599998,180838000,41.890687
"54",42.389999,44.68,42.389999,44.200001,107416000,43.464049
"55",44.150002,46.099998,43.02,44.950001,145977400,44.439597
"56",45.43,45.490002,40.700001,41.91,165861300,41.434115
"57",42.200001,45.259998,41.68,44.610001,112911300,44.103457
"58",44.610001,45.459999,42.709999,43.669998,136367800,43.42009
"59",43.540001,44.18,42.119999,42.869999,130896500,42.624669
"60",43,44.73,42.759998,43.110001,110472900,42.863298
"61",43.25,45.040001,42.700001,44.810001,52568200,44.55357
