"","stock_data$WHR.Open","stock_data$WHR.High","stock_data$WHR.Low","stock_data$WHR.Close","stock_data$WHR.Volume","stock_data$WHR.Adjusted"
"1",97.25,105.470001,87.580002,87.82,23242400,78.40874
"2",88.230003,96.900002,81.800003,83.300003,46077100,74.37313
"3",84.379997,87.400002,72.870003,74.160004,41622100,66.59346
"4",75.5,82.480003,71,80.959999,49038500,72.699652
"5",81.779999,88.150002,75.330002,75.830002,43994300,68.093068
"6",76.25,80.769997,72.949997,73,36866600,65.933959
"7",74.18,91.279999,73.919998,88.830002,33486700,80.231695
"8",89.730003,92.279999,84.940002,85.5,28285000,77.22402
"9",86.18,87.650002,79.5,82.5,38835700,74.90905
"10",82.57,87.190002,79.150002,85.360001,29582100,77.505898
"11",85.940002,92,82.209999,86.18,23365800,78.250448
"12",86.779999,88,80.07,83.800003,24391400,76.543107
"13",83.419998,84.059998,72.480003,81.32,38314400,74.277867
"14",81.360001,82.989998,67.769997,69.230003,31503200,63.234837
"15",70.209999,70.25,55,62.689999,56164900,57.766579
"16",62.689999,62.849998,47.349998,49.91,42348900,45.990269
"17",49.459999,62,47.48,50.810001,46461900,46.819588
"18",49.34,54.849998,45.880001,49.060001,36188400,45.63391
"19",49.099998,51.68,45.220001,47.450001,40420700,44.136344
"20",48.34,56.290001,47.720001,54.32,41947100,50.526578
"21",59.130001,78.040001,58.5,75.57,63028500,70.75718
"22",76.519997,79.389999,71.269997,76.860001,31582500,71.965025
"23",76.690002,77.040001,62.880001,64.019997,41927400,59.942761
"24",64.330002,66.080002,57.02,61.880001,39941500,58.418207
"25",60.599998,62.77,54.080002,61.16,31364100,57.738485
"26",61.43,69.75,59.849998,67.559998,32884300,63.780443
"27",67.970001,76.480003,65.93,75.459999,21448300,71.723237
"28",74.230003,86.470001,74.230003,82.910004,20865700,78.804319
"29",83.190002,98.279999,82.349998,97.68,29460100,92.842908
"30",98.389999,103.5,93.5,101.839996,25464300,97.298702
"31",102.260002,104.209999,96.550003,101.75,20739700,97.212719
"32",103.739998,115.669998,101.739998,115.379997,25912400,110.234922
"33",114.650002,115.5,104.059998,112.949997,22296900,108.405584
"34",112.019997,120,110.900002,118.459999,25939400,113.693897
"35",118.400002,122.389999,108.959999,114.279999,24608300,109.682074
"36",114.080002,134.089996,112.580002,127.760002,18641300,123.21671
"37",127.790001,131.589996,107.879997,114.360001,20885600,110.293228
"38",115.550003,136.440002,111.699997,133.940002,27200100,129.176943
"39",135.690002,138.330002,127.589996,128.649994,19001900,124.680345
"40",131.029999,151.839996,128,146.440002,18187800,141.921422
"41",146.050003,149.470001,129.220001,146.009995,32453600,141.504682
"42",146.020004,154.429993,141.119995,152.759995,17368100,148.697343
"43",153.009995,159.220001,146.220001,156.860001,14967100,152.688309
"44",156.520004,160.009995,130.050003,133.300003,26134500,129.75489
"45",133.300003,146.5,124.389999,144.630005,29371800,141.4116
"46",142.440002,149.570007,140.490005,149.460007,18918800,146.134121
"47",149.729996,156.710007,145.5,153.380005,20694400,149.966889
"48",152.960007,156.279999,140.740005,143.550003,20018400,141.053684
"49",144.179993,144.570007,136.639999,139.220001,18882200,136.79898
"50",139.699997,149.240005,135.369995,142.639999,35696600,140.159505
"51",142.160004,154.100006,141.550003,153.020004,20802400,151.106216
"52",153.5,156.130005,145,145.649994,16506400,143.828381
"53",145.320007,173.699997,139.850006,172.050003,26810000,169.898211
"54",171.559998,186.639999,170.619995,186.169998,14746600,184.622944
"55",186.270004,196.710007,172.850006,193.740005,20736700,192.130045
"56",194.169998,207.149994,186.139999,199.080002,15926900,197.425667
"57",199.460007,217.110001,197,211.949997,17215200,210.92691
"58",211.949997,217,191.050003,202.059998,18995900,201.084649
"59",201.889999,202.5,174.75,175.600006,26031400,174.752381
"60",175.869995,193.020004,175.389999,184.25,19333600,184.25
"61",184.639999,189.460007,182.720001,185.979996,6186600,185.979996
