"","stock_data$WPI.Open","stock_data$WPI.High","stock_data$WPI.Low","stock_data$WPI.Close","stock_data$WPI.Volume","stock_data$WPI.Adjusted"
"1",0.25,0.27,0.25,0.26,850000,0.26
"2",0.25,0.29,0.235,0.26,4140000,0.26
"3",0.27,0.28,0.25,0.25,5640000,0.25
"4",0.25,0.3,0.245,0.29,12553500,0.29
"5",0.29,0.32,0.25,0.25,3362000,0.25
"6",0.29,0.305,0.27,0.29,2476500,0.29
"7",0.27,0.3,0.26,0.3,2110000,0.3
"8",0.3,0.49,0.28,0.37,16290000,0.37
"9",0.34,0.37,0.32,0.36,1820000,0.36
"10",0.35,0.38,0.32,0.35,1870000,0.35
"11",0.35,0.38,0.33,0.35,6590000,0.35
"12",0.35,0.37,0.3,0.32,2290000,0.32
"13",0.31,0.36,0.26,0.28,22110000,0.28
"14",0.28,0.43,0.265,0.4,31650000,0.4
"15",0.44,0.79,0.44,0.5,490276000,0.5
"16",0.5,0.55,0.34,0.375,52718000,0.375
"17",0.375,0.465,0.35,0.465,20890000,0.465
"18",0.465,0.6,0.43,0.53,29001000,0.53
"19",0.53,0.55,0.45,0.5,40064000,0.5
"20",0.52,0.7,0.475,0.55,120172000,0.55
"21",0.55,0.59,0.51,0.55,39793000,0.55
"22",0.53,0.72,0.53,0.58,297777000,0.58
"23",0.6,0.6,0.51,0.53,26443000,0.53
"24",0.53,0.54,0.35,0.45,31940000,0.45
"25",0.445,0.455,0.4,0.44,9670000,0.44
"26",0.44,0.48,0.415,0.465,9990000,0.465
"27",0.45,0.475,0.425,0.46,11250000,0.46
"28",0.465,0.47,0.43,0.45,6530000,0.45
"29",0.46,0.46,0.41,0.43,9730000,0.43
"30",0.43,0.45,0.415,0.43,6110000,0.43
"31",0.44,0.44,0.4,0.41,7430000,0.41
"32",0.41,0.42,0.4,0.415,13470000,0.415
"33",0.42,0.48,0.4,0.41,21760000,0.41
"34",0.415,0.42,0.385,0.41,14240000,0.41
"35",0.41,0.42,0.39,0.415,2990000,0.415
"36",0.415,0.42,0.38,0.4,3650000,0.4
"37",0.4,0.41,0.315,0.38,3910000,0.38
"38",0.35,0.405,0.35,0.385,3270000,0.385
"39",0.38,0.4,0.355,0.4,940000,0.4
"40",0.36,0.4,0.34,0.39,1640000,0.39
"41",0.375,0.395,0.345,0.35,2190000,0.35
"42",0.35,0.385,0.33,0.38,5330000,0.38
"43",0.38,0.38,0.33,0.355,1990000,0.355
"44",0.355,0.37,0.31,0.34,4e+06,0.34
"45",0.33,0.38,0.31,0.34,5540000,0.34
"46",0.33,0.355,0.31,0.33,4310000,0.33
"47",0.315,0.345,0.31,0.31,15260000,0.31
"48",0.31,0.36,0.305,0.32,19160000,0.32
"49",0.32,0.345,0.305,0.32,6670000,0.32
"50",0.335,0.345,0.32,0.34,4070000,0.34
"51",0.33,0.35,0.325,0.35,3380000,0.35
"52",0.35,0.435,0.34,0.37,40390000,0.37
"53",0.36,0.49,0.35,0.445,139350000,0.445
"54",0.46,0.46,0.365,0.4,63700000,0.4
"55",0.395,0.4,0.355,0.38,12890000,0.38
"56",0.38,0.4,0.36,0.385,16040000,0.385
"57",0.38,0.4,0.36,0.375,24600000,0.375
"58",0.38,0.39,0.335,0.35,11660000,0.35
"59",0.36,0.37,0.33,0.35,7110000,0.35
"60",0.35,0.355,0.32,0.32,8850000,0.32
"61",0.32,0.33,0.32,0.33,1890000,0.33
